# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
0.002,-0,-0.042,-21.095
0.004,0,0.002,0.969
0.006,0,0.048,23.034
0.008,0,0.138,45.1
0.01,0.001,0.273,67.166
0.012,0.001,0.451,89.234
0.014,0.003,0.812,180.348
0.016,0.005,1.458,323.021
0.018,0.009,2.179,360.674
0.02,0.014,2.941,380.825
0.022,0.02,3.742,400.98
0.024,0.029,4.581,419.392
0.026,0.039,5.436,427.302
0.028,0.05,6.303,433.463
0.03,0.064,7.182,439.624
0.032,0.079,8.073,445.787
0.034,0.096,8.972,449.282
0.036,0.115,9.872,450.104
0.038,0.136,10.774,450.926
0.04,0.158,11.677,451.749
0.042,0.182,12.582,452.571
0.044,0.208,13.483,453.39
0.046,0.234,14.325,454.177
0.048,0.26,15.119,454.915
0.05,0.301,16.312,455.826
0.054,0.368,18.103,456.114
0.06,0.483,20.753,449.785
0.069,0.683,24.635,439.166
0.079,0.951,28.938,430.337
0.089,1.262,33.178,424.14
0.099,1.615,37.356,417.933
0.109,2.009,41.472,411.714
0.119,2.444,45.526,405.5
0.129,2.919,49.543,401.785
0.139,3.434,53.54,399.887
0.149,3.99,57.519,397.985
0.159,4.585,61.479,396.078
0.169,5.219,65.42,394.166
0.179,5.893,69.341,392.25
0.189,6.606,73.243,390.328
0.199,7.358,77.126,388.401
0.209,8.148,80.99,386.462
0.219,8.977,84.834,384.528
0.229,9.845,88.659,382.59
0.239,10.751,92.465,380.646
0.249,11.694,96.251,378.696
0.259,12.675,100.018,376.741
0.269,13.694,103.765,374.781
0.279,14.751,107.492,372.814
0.289,15.844,111.2,370.841
0.299,16.975,114.888,368.862
0.309,18.142,118.556,366.876
0.319,19.346,122.204,364.882
0.329,20.586,125.833,362.881
0.339,21.862,129.441,360.872
0.349,23.175,133.029,358.854
0.359,24.523,136.597,356.827
0.369,25.906,140.144,354.791
0.379,27.325,143.671,352.745
0.389,28.78,147.178,350.688
0.399,30.269,150.664,348.621
0.409,31.793,154.128,346.487
0.419,33.351,157.571,344.309
0.429,34.944,160.992,342.119
0.439,36.571,164.392,339.918
0.449,38.232,167.769,337.704
0.459,39.926,171.124,335.478
0.469,41.654,174.456,333.239
0.479,43.415,177.767,330.989
0.489,45.209,181.054,328.728
0.499,47.036,184.319,326.455
0.509,48.896,187.561,324.172
0.519,50.787,190.781,321.878
0.529,52.711,193.977,319.576
0.539,54.667,197.15,317.266
0.549,56.654,200.3,314.95
0.559,58.673,203.427,312.629
0.569,60.723,206.531,310.306
0.579,62.803,209.611,307.982
0.589,64.915,212.668,305.66
0.599,67.056,215.702,303.341
0.609,69.229,218.712,300.866
0.619,71.431,221.692,297.938
0.629,73.662,224.642,294.989
0.639,75.923,227.563,292.052
0.649,78.213,230.455,289.128
0.659,80.532,233.317,286.22
0.669,82.88,236.151,283.329
0.679,85.255,238.955,280.454
