# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Mach number (​),Drag coefficient (​)
0.01,-0.001,-0.115,-11.489,0.005,0.594
0.02,0.001,0.293,29.303,0.005,0.593
0.03,0.008,1,70.676,0.005,0.591
0.04,0.024,2.154,115.468,0.006,0.584
0.05,0.053,3.762,160.848,0.006,0.572
0.06,0.1,5.598,183.591,0.008,0.557
0.07,0.165,7.434,183.66,0.009,0.543
0.08,0.249,9.27,183.59,0.01,0.53
0.09,0.351,11.096,182.683,0.012,0.519
0.1,0.471,12.912,181.636,0.013,0.509
0.11,0.609,14.718,180.587,0.015,0.501
0.12,0.765,16.513,179.538,0.016,0.493
0.13,0.939,18.294,178.098,0.018,0.487
0.14,1.131,20.037,174.336,0.019,0.481
0.15,1.339,21.738,170.185,0.021,0.476
0.16,1.565,23.398,166.032,0.022,0.471
0.17,1.807,25.017,161.876,0.024,0.467
0.18,2.065,26.594,157.717,0.025,0.463
0.19,2.339,28.129,153.556,0.026,0.46
0.2,2.628,29.623,149.392,0.028,0.457
0.21,2.931,31.094,147.171,0.029,0.454
0.22,3.25,32.563,146.899,0.03,0.451
0.23,3.582,34.029,146.626,0.031,0.449
0.24,3.93,35.492,146.353,0.033,0.446
0.25,4.292,36.953,146.08,0.034,0.444
0.26,4.669,38.411,145.806,0.035,0.442
0.27,5.061,39.866,145.533,0.037,0.44
0.28,5.466,41.318,145.258,0.038,0.438
0.29,5.887,42.768,144.984,0.039,0.436
0.3,6.322,44.215,144.709,0.041,0.434
0.31,6.771,45.659,144.433,0.042,0.433
0.32,7.235,47.1,144.158,0.043,0.431
0.33,7.713,48.539,143.882,0.044,0.43
0.34,8.206,49.975,143.605,0.046,0.428
0.35,8.713,51.408,143.329,0.047,0.427
0.36,9.234,52.838,143.051,0.048,0.426
0.37,9.769,54.266,142.774,0.05,0.424
0.38,10.319,55.69,142.496,0.051,0.423
0.39,10.883,57.112,142.218,0.052,0.422
0.4,11.461,58.532,141.94,0.053,0.421
0.41,12.054,59.948,141.661,0.055,0.42
0.425,12.969,62.065,141.136,0.056,0.418
0.448,14.401,65.228,140.627,0.059,0.416
0.481,16.682,69.948,139.858,0.064,0.413
0.531,20.353,76.892,138.951,0.07,0.409
0.581,24.371,83.824,138.724,0.076,0.405
0.631,28.736,90.765,138.888,0.082,0.402
0.681,33.449,97.772,140.21,0.089,0.399
0.731,38.515,104.851,141.633,0.095,0.396
0.781,43.936,111.996,142.967,0.101,0.394
0.831,49.715,119.194,143.991,0.108,0.392
0.881,55.856,126.44,144.968,0.114,0.39
0.931,62.361,133.735,145.925,0.121,0.388
0.981,69.231,141.077,146.856,0.128,0.388
1.031,76.469,148.464,147.732,0.134,0.388
1.081,84.078,155.888,148.467,0.141,0.389
1.131,92.059,163.348,149.163,0.148,0.39
1.181,100.414,170.841,149.832,0.155,0.39
1.231,109.144,178.368,150.476,0.161,0.391
1.281,118.252,185.946,151.512,0.168,0.392
1.331,127.742,193.653,154.069,0.175,0.393
1.381,137.621,201.495,156.764,0.183,0.394
1.431,147.895,209.472,159.46,0.19,0.394
1.481,158.571,217.583,162.171,0.197,0.395
1.531,169.657,225.83,164.901,0.205,0.396
1.581,181.158,234.211,167.596,0.213,0.398
1.631,193.081,242.727,170.339,0.22,0.399
1.681,205.434,251.383,173.145,0.228,0.4
1.731,218.223,260.18,176.017,0.236,0.401
1.781,231.455,269.103,178.567,0.245,0.403
1.831,245.135,278.082,179.704,0.253,0.404
1.881,259.264,287.112,180.721,0.261,0.406
1.931,273.847,296.193,181.734,0.269,0.407
1.981,288.885,305.323,182.723,0.278,0.409
2.031,304.381,314.503,183.676,0.286,0.411
2.081,320.336,323.73,184.589,0.295,0.412
2.131,336.755,333.001,185.417,0.303,0.414
2.181,353.637,342.311,186.142,0.312,0.416
2.231,370.987,351.654,186.758,0.32,0.418
2.281,388.803,360.99,186.555,0.329,0.42
2.331,407.082,370.18,183.604,0.337,0.422
2.381,425.817,379.209,180.34,0.345,0.424
2.431,444.999,388.073,177.06,0.353,0.427
2.481,464.62,396.774,173.822,0.361,0.429
2.531,484.673,405.315,170.649,0.369,0.431
2.581,505.148,413.696,167.54,0.377,0.433
2.631,526.039,421.926,164.557,0.385,0.435
2.681,547.337,430.008,161.67,0.392,0.438
2.731,569.036,437.948,158.816,0.4,0.44
2.781,591.128,445.754,156.116,0.407,0.442
2.831,613.609,453.46,154.071,0.414,0.445
2.881,636.472,461.064,151.956,0.421,0.447
2.931,659.712,468.558,149.68,0.428,0.449
2.981,683.325,475.934,147.253,0.434,0.452
3.031,707.302,483.16,144.205,0.441,0.454
3.081,731.635,490.138,139.233,0.448,0.456
3.131,756.31,496.86,134.147,0.454,0.459
3.181,781.315,503.33,129.212,0.46,0.461
3.231,806.637,509.558,124.46,0.466,0.463
3.281,832.265,515.554,119.869,0.471,0.466
3.331,858.187,521.329,115.451,0.477,0.468
3.381,884.392,526.882,111.006,0.482,0.47
3.431,910.87,532.21,106.44,0.487,0.472
3.481,937.608,537.306,101.713,0.492,0.474
3.531,964.591,542.022,94.032,0.496,0.476
3.581,991.787,545.829,75.86,0.499,0.478
3.631,1019.15,548.678,56.77,0.502,0.479
3.681,1046.632,550.578,37.861,0.504,0.48
3.731,1074.184,551.537,19.185,0.505,0.48
3.781,1101.764,551.635,2.038,0.505,0.48
3.831,1129.333,551.129,-9.975,0.505,0.48
3.881,1156.862,550.048,-21.473,0.504,0.48
3.931,1184.323,548.391,-33.004,0.503,0.479
3.981,1211.687,546.156,-44.595,0.501,0.478
4,1221.918,545.168,-52.652,0.5,0.478
4.028,1237.229,543.626,-54.772,0.498,0.477
4.07,1260.114,541.318,-54.658,0.496,0.476
4.12,1287.112,538.588,-54.532,0.494,0.475
4.17,1313.973,535.865,-54.364,0.492,0.474
4.22,1340.699,533.152,-54.111,0.489,0.473
4.27,1367.289,530.455,-53.765,0.487,0.472
4.32,1393.745,527.777,-53.36,0.484,0.471
4.37,1420.067,525.12,-52.945,0.482,0.47
4.42,1446.257,522.482,-52.569,0.48,0.469
4.47,1472.315,519.862,-52.264,0.478,0.468
4.52,1498.243,517.255,-52.037,0.475,0.467
4.57,1524.041,514.657,-51.875,0.473,0.466
4.62,1549.709,512.067,-51.744,0.471,0.465
4.67,1575.248,509.482,-51.607,0.468,0.464
4.72,1600.657,506.906,-51.428,0.466,0.463
4.77,1625.938,504.34,-51.188,0.464,0.463
4.82,1651.092,501.788,-50.892,0.462,0.462
