# Mach number (​),Drag coefficient (​)
0.003,0.684
0.003,0.684
0.003,0.676
0.003,0.652
0.004,0.618
0.006,0.587
0.008,0.563
0.009,0.545
0.011,0.53
0.013,0.518
0.014,0.508
0.016,0.5
0.018,0.492
0.019,0.486
0.021,0.48
0.023,0.475
0.024,0.471
0.026,0.467
0.027,0.463
0.028,0.46
0.03,0.457
0.031,0.454
0.033,0.451
0.034,0.449
0.035,0.446
0.037,0.446
0.038,0.446
0.04,0.446
0.041,0.446
0.042,0.446
0.044,0.446
0.045,0.446
0.046,0.446
0.048,0.446
0.049,0.446
0.051,0.446
0.052,0.446
0.053,0.447
0.055,0.447
0.056,0.447
0.058,0.447
0.061,0.447
0.066,0.447
0.072,0.447
0.079,0.448
0.086,0.448
0.092,0.448
0.099,0.449
0.106,0.449
0.113,0.45
0.12,0.45
0.127,0.451
0.134,0.452
0.141,0.452
0.148,0.453
0.155,0.454
0.162,0.454
0.17,0.455
0.177,0.456
0.184,0.457
0.192,0.458
0.2,0.459
0.207,0.46
0.215,0.461
0.224,0.462
0.232,0.464
0.24,0.465
0.249,0.467
0.257,0.468
0.266,0.47
0.275,0.471
0.284,0.473
0.292,0.475
0.301,0.477
0.31,0.479
0.319,0.481
0.328,0.483
0.337,0.485
0.346,0.487
0.355,0.489
0.363,0.492
0.372,0.494
0.38,0.497
0.389,0.499
0.397,0.501
0.405,0.504
0.413,0.506
0.42,0.509
0.428,0.511
0.435,0.514
0.442,0.517
0.45,0.519
0.457,0.522
0.464,0.525
0.47,0.527
0.477,0.53
0.483,0.532
0.489,0.535
0.495,0.537
0.5,0.54
0.506,0.542
0.511,0.544
0.516,0.547
0.52,0.549
0.524,0.55
0.527,0.552
0.529,0.553
0.53,0.553
0.53,0.553
0.6,0.554
