# Altitude (ft),Lateral distance (ft)
-0,0
0.002,0
0.009,0.002
0.026,0.005
0.057,0.01
0.107,0.019
0.177,0.031
0.266,0.047
0.374,0.066
0.501,0.088
0.648,0.114
0.813,0.143
0.998,0.176
1.201,0.212
1.422,0.251
1.661,0.293
1.918,0.338
2.192,0.386
2.482,0.438
2.788,0.492
3.109,0.548
3.447,0.608
3.8,0.67
4.168,0.735
4.552,0.803
4.951,0.873
5.366,0.946
5.797,1.022
6.242,1.101
6.703,1.182
7.18,1.266
7.671,1.353
8.178,1.442
8.701,1.534
9.238,1.629
9.791,1.726
10.358,1.826
10.941,1.929
11.539,2.035
12.152,2.143
13.1,2.31
14.585,2.571
16.954,2.987
20.774,3.655
24.963,4.385
29.52,5.18
34.446,6.042
39.744,6.976
45.417,7.99
51.466,9.089
57.893,10.285
64.698,11.587
71.88,13.007
79.44,14.56
87.374,16.259
95.681,18.12
104.357,20.158
113.397,22.389
122.798,24.828
132.557,27.49
142.673,30.393
151.859,33.155
160.239,35.776
168.224,38.361
176.069,40.981
183.986,43.701
192.203,46.599
201.058,49.803
211.146,53.542
223.871,58.377
237.006,63.481
250.562,68.844
264.549,74.452
278.973,80.291
290.048,84.8
299.593,88.7
308.547,92.368
317.377,95.992
326.479,99.737
336.332,103.802
347.802,108.551
363.24,114.979
380.5,122.228
398.194,129.744
415.517,137.2
426.954,142.178
437.075,146.622
446.814,150.931
456.738,155.355
467.475,160.176
480.164,165.916
498.321,174.198
518.498,183.476
539.062,192.988
552.859,199.392
564.301,204.712
575.173,209.775
586.379,215.001
598.962,220.879
615.301,228.532
637.552,239.003
660.14,249.707
676.524,257.525
689.245,263.629
701.313,269.448
713.986,275.587
728.98,282.885
751.696,294.001
775.793,305.853
797.475,316.555
811.695,323.587
825.177,330.263
839.835,337.533
858.929,347.023
884.21,359.632
909.718,372.423
926.848,381.057
941.882,388.665
957.915,396.809
979.083,407.602
1005.236,420.991
1031.484,434.469
1049.617,443.798
1066.6,452.546
1086.716,462.923
1112.998,476.512
1139.216,490.115
1162.456,502.218
1181.668,512.257
1200.221,521.979
1226.019,535.536
1251.665,549.049
1277.164,562.512
1298.946,574.033
1324.176,587.402
1349.26,600.728
1374.193,614.017
1398.976,627.274
1423.607,640.501
1448.09,653.694
1472.428,666.85
1496.625,679.964
1520.684,693.033
1544.605,706.058
1568.388,719.042
1592.031,731.989
1615.533,744.904
1638.892,757.79
1662.111,770.645
1685.19,783.469
1708.133,796.259
1730.943,809.01
1753.621,821.723
1776.169,834.396
1798.585,847.033
1820.869,859.637
1843.02,872.21
1865.037,884.755
1886.92,897.273
1908.671,909.761
1930.293,922.219
1951.787,934.644
1973.155,947.035
1994.398,959.391
2015.516,971.714
2036.51,984.004
2057.377,996.266
2078.118,1008.5
2098.732,1020.708
2119.221,1032.889
2139.585,1045.044
2159.825,1057.172
2179.944,1069.269
2199.943,1081.337
2219.822,1093.374
2239.583,1105.38
2259.225,1117.358
