time,height,speed,acceleration
-0.3,8.07126,0,4.95431
-0.29,8.07126,0,-3.31381
-0.28,5.28241,0,0
-0.27,5.28241,0,-3.31381
-0.26,5.28241,0,3.31381
-0.25,5.28241,0,-3.31381
-0.24,5.28241,0,-4.95431
-0.23,4.46216,0,-3.31381
-0.22,4.46216,0,1.6405
-0.21,4.46216,0,-4.95431
-0.2,4.46216,0,-3.31381
-0.19,4.46216,0,-1.6405
-0.18,7.25101,0,-1.6405
-0.17,7.25101,0,-3.31381
-0.16,7.25101,0,-1.6405
-0.15,7.25101,0,0
-0.14,7.25101,0,1.6405
-0.13,9.74457,0,-4.95431
-0.12,9.74457,0,0
-0.11,9.74457,0,-1.6405
-0.1,9.74457,0,3.31381
-0.09,9.74457,0,1.6405
-0.08,5.84018,0.03281,1.6405
-0.07,5.84018,0.19686,-6.59481
-0.06,5.84018,0.75463,1.6405
-0.05,5.84018,1.93579,26.41205
-0.04,5.84018,3.97001,315.14005
-0.03,6.39795,6.95572,461.99761
-0.02,6.39795,10.76168,475.22004
-0.01,6.39795,15.15822,496.64497
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0,6.39795,19.85005,495.00447
0.01,6.39795,24.57469,473.54673
0.02,14.46921,29.2009,463.67092
0.02,14.46921,29.2009,463.67092
0.03,14.46921,33.72868,445.49418
0.04,14.46921,38.09241,420.75544
0.05,14.46921,42.3249,412.52013
0.06,14.46921,46.49177,402.61151
0.07,8.33374,50.56021,399.2977
0.08,8.33374,54.59584,404.25201
0.09,8.33374,58.56585,409.20632
0.1,8.33374,62.50305,392.70289
0.11,8.33374,66.40744,367.96415
0.12,3.34662,70.24621,379.51327
0.13,3.34662,74.05217,392.70289
0.14,3.34662,77.82532,361.36934
0.15,3.34662,81.63128,387.74858
0.16,3.34662,85.43724,381.15377
0.17,3.34662,89.21039,381.15377
0.18,11.68036,92.95073,372.91846
0.19,11.68036,96.65826,367.96415
0.2,11.68036,100.33298,366.29084
0.21,11.68036,103.97489,361.36934
0.22,18.63608,107.58399,359.69603
0.23,18.63608,111.19309,356.41503
0.24,18.63608,114.73657,354.74172
0.25,18.63608,118.28005,349.82022
0.26,18.63608,121.79072,349.82022
0.27,22.27799,125.30139,353.10122
0.28,22.27799,128.77925,346.50641
0.29,22.27799,132.25711,348.14691
0.3,22.27799,135.70216,341.5521
0.31,22.27799,139.1144,338.2711
0.32,26.74015,142.52664,344.86591
0.33,26.74015,145.93888,338.2711
0.34,26.74015,149.2855,336.59779
0.34,26.74015,149.2855,336.59779
0.35,26.74015,152.66493,334.95729
0.36,26.74015,155.97874,330.00298
0.37,35.07389,159.29255,333.31679
0.38,35.07389,162.57355,323.40817
0.39,35.07389,165.82174,326.72198
0.4,35.07389,169.06993,318.45386
0.41,35.07389,172.28531,318.45386
0.42,41.50465,175.46788,323.40817
0.43,41.50465,178.65045,315.14005
0.44,41.50465,181.80021,316.81336
0.45,41.50465,184.94997,315.14005
0.46,41.50465,188.06692,308.54524
0.47,52.92253,191.15106,303.59093
0.48,52.92253,194.20239,305.26424
0.49,52.92253,197.22091,301.95043
0.5,52.92253,200.23943,298.66943
0.51,52.92253,203.22514,296.99612
0.52,62.96239,206.21085,301.95043
0.53,62.96239,209.16375,290.40131
0.54,62.96239,212.08384,290.40131
0.55,62.96239,215.00393,293.71512
0.56,62.96239,217.89121,290.40131
0.57,74.11779,220.77849,287.12031
0.58,74.11779,223.63296,280.49269
0.59,74.11779,226.45462,280.49269
0.6,74.11779,229.27628,285.447
0.61,74.11779,232.06513,275.57119
0.62,77.46441,234.82117,272.25738
