# Mach number (​),Drag coefficient (​)
0.007,0.582
0.007,0.582
0.007,0.58
0.007,0.575
0.008,0.566
0.009,0.555
0.01,0.543
0.011,0.532
0.013,0.523
0.014,0.514
0.016,0.506
0.017,0.499
0.019,0.493
0.021,0.488
0.022,0.483
0.024,0.479
0.025,0.475
0.027,0.471
0.028,0.468
0.029,0.465
0.031,0.462
0.032,0.459
0.033,0.457
0.035,0.454
0.036,0.452
0.037,0.45
0.039,0.448
0.04,0.447
0.042,0.445
0.043,0.443
0.044,0.442
0.046,0.44
0.047,0.439
0.048,0.437
0.05,0.436
0.051,0.435
0.052,0.433
0.054,0.432
0.055,0.431
0.056,0.43
0.058,0.428
0.061,0.426
0.066,0.423
0.072,0.419
0.079,0.415
0.085,0.412
0.092,0.409
0.099,0.407
0.106,0.404
0.112,0.402
0.119,0.4
0.126,0.399
0.133,0.4
0.14,0.4
0.147,0.401
0.154,0.401
0.162,0.402
0.169,0.403
0.176,0.404
0.183,0.405
0.191,0.406
0.198,0.406
0.206,0.407
0.214,0.409
0.222,0.41
0.23,0.411
0.239,0.412
0.247,0.414
0.256,0.415
0.264,0.417
0.273,0.418
0.282,0.42
0.291,0.421
0.299,0.423
0.308,0.425
0.317,0.427
0.326,0.429
0.335,0.431
0.344,0.433
0.353,0.435
0.361,0.437
0.37,0.44
0.378,0.442
0.387,0.444
0.395,0.447
0.403,0.449
0.411,0.451
0.418,0.454
0.426,0.456
0.433,0.459
0.441,0.461
0.448,0.464
0.455,0.466
0.462,0.469
0.469,0.471
0.475,0.473
0.482,0.476
0.488,0.478
0.493,0.481
0.499,0.483
0.505,0.485
0.51,0.487
0.515,0.49
0.519,0.492
0.523,0.493
0.526,0.495
0.528,0.496
0.529,0.496
0.53,0.496
0.55,0.5
